Team,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg
North Carolina,3.5,27.98,41.3,70.6,7.1,34.0,13.60
Kentucky,5.3,27.39,42.4,71.5,6.0,30.6,14.32
Villanova,3.0,24.75,41.9,62.7,7.2,31.1,13.19
Kansas,4.5,26.78,42.0,71.9,6.9,35.6,13.42
Arizona,3.2,26.41,42.1,65.9,5.4,31.0,11.68
Gonzaga,4.7,31.00,36.5,61.5,6.8,29.0,12.10
Oregon,6.4,26.05,40.3,65.8,6.5,31.3,13.21
Florida,4.8,25.50,41.0,66.5,7.5,30.5,14.86
Baylor,4.8,25.03,40.5,63.7,5.1,32.3,11.34
Duke,4.6,25.70,43.2,70.2,6.1,29.3,12.08
Louisville,5.4,26.06,40.1,66.0,6.7,31.6,13.50
Cincinnati,4.9,24.72,38.8,61.3,7.2,34.4,13.22
Butler,2.8,23.59,44.5,68.9,6.1,33.3,13.26
UCLA,5.3,28.94,42.2,75.5,5.9,36.5,11.75
Florida St.,5.1,26.14,41.6,72.1,7.4,34.9,14.11
SMU,3.3,26.23,38.6,60.0,5.7,32.1,11.66
Saint Mary's (CA),3.2,25.97,41.2,57.5,4.2,30.0,9.35
Purdue,2.5,27.86,42.1,68.4,5.2,33.2,11.74
Virginia,4.1,24.18,39.8,56.4,5.6,31.7,12.65
West Virginia,4.8,23.00,42.4,66.7,10.0,35.3,20.00
Iowa St.,3.5,25.74,42.8,72.3,7.8,34.6,14.03
Notre Dame,3.7,24.39,43.2,69.3,7.1,33.8,12.67
Michigan,2.9,21.87,46.5,66.4,5.8,37.8,12.61
South Carolina,3.8,23.78,40.1,65.2,7.8,30.3,17.08
Minnesota,6.7,28.32,40.0,69.4,5.7,30.9,12.62
VCU,3.9,25.40,42.2,66.9,7.5,33.8,14.69
Xavier,2.6,25.39,45.0,71.3,6.0,33.4,11.95
Arkansas,4.8,24.89,41.8,73.9,7.7,33.2,13.25
Wichita St.,3.9,28.92,37.7,62.4,6.5,31.1,13.56
Wisconsin,3.5,24.76,41.2,62.4,6.8,37.6,12.76
Rhode Island,5.9,25.49,40.6,65.4,6.5,29.5,13.11
Creighton,2.9,26.69,43.7,72.8,6.1,33.0,13.97
UNCW,3.4,23.97,47.8,75.0,6.7,33.8,14.46
Middle Tenn.,2.8,25.50,42.1,63.9,6.7,32.3,13.22
Nevada,4.3,27.57,42.8,71.3,5.4,31.0,11.34
Dayton,4.0,25.63,41.3,66.4,7.8,32.5,14.97
Southern California,5.3,24.92,43.4,73.1,7.0,36.8,12.56
Maryland,4.7,24.88,41.6,68.1,5.5,33.8,12.64
Illinois St.,4.9,26.40,37.9,61.3,7.1,32.8,12.77
UT Arlington,2.3,26.72,41.2,69.9,7.4,31.8,14.56
Oklahoma St.,3.0,23.06,47.1,78.5,7.6,36.7,14.94
Vanderbilt,3.8,26.34,42.5,68.1,4.2,33.7,10.83
Wake Forest,3.7,25.70,45.7,78.4,5.5,35.8,11.64
Miami (FL),3.8,24.64,41.9,64.1,6.5,33.0,11.88
Vermont,4.3,24.74,42.3,62.1,5.7,33.4,12.94
Seton Hall,2.5,26.45,43.3,70.4,6.9,34.1,12.18
Michigan St.,4.6,27.06,41.0,68.7,4.3,34.6,10.86
Northwestern,4.9,25.50,40.3,65.5,5.3,33.3,11.92
Princeton,3.1,25.17,41.6,61.4,6.7,33.2,13.13
Virginia Tech,2.8,25.03,44.5,74.7,4.0,36.3,11.61
Monmouth,4.6,27.35,40.7,73.6,6.9,33.4,14.65
TCU,4.5,24.38,44.3,69.7,6.6,36.1,13.03
Kansas St.,3.7,22.94,43.1,67.8,7.7,38.2,14.94
Georgia,3.7,27.29,41.1,70.4,5.4,33.5,11.79
Akron,3.3,24.69,44.4,70.8,5.5,36.5,11.53
New Mexico St.,3.8,26.56,41.9,67.9,4.9,29.4,13.71
ETSU,4.6,26.06,41.7,69.7,8.4,35.4,15.54
Belmont,2.7,26.80,42.7,69.3,4.4,31.8,11.33
CSU Bakersfield,4.0,26.23,37.2,63.9,8.2,31.8,16.63
Illinois,2.4,25.00,43.4,69.1,5.6,33.4,12.80
Providence,3.0,24.42,44.0,66.9,6.6,32.8,13.76
Houston,3.5,24.16,40.8,64.9,5.3,32.9,13.66
California,4.6,27.32,40.0,63.4,4.9,32.8,11.15
UCF,4.0,29.97,36.5,61.2,4.0,31.3,9.75
Col. of Charleston,3.4,25.49,41.9,64.6,5.5,30.8,12.34
Bucknell,3.8,25.74,42.7,67.9,7.2,34.2,13.89
Marquette,3.6,24.34,45.9,75.5,7.2,36.8,13.06
Ole Miss,4.2,26.81,42.5,76.3,6.8,36.3,13.92
Colorado St.,3.4,26.78,40.7,68.0,6.1,31.7,11.61
Boise St.,2.4,25.97,42.7,71.2,5.0,33.6,11.84
Winthrop,5.1,27.52,40.8,70.4,6.5,31.3,14.00
Richmond,1.9,24.06,44.2,72.0,6.6,32.1,14.03
BYU,4.6,31.06,41.6,74.2,6.6,32.4,12.24
Pittsburgh,3.4,25.61,44.9,74.7,3.8,35.6,9.76
Clemson,3.9,22.97,45.3,71.5,7.1,35.6,13.67
UNC Asheville,1.9,25.00,44.9,68.5,9.3,35.5,16.58
Fresno St.,3.9,26.00,41.5,70.2,8.4,33.1,14.70
Valparaiso,2.9,27.27,41.4,68.9,6.4,33.1,12.88
Georgia Tech,6.0,26.32,39.8,66.8,6.6,33.0,13.08
Tennessee,4.6,25.56,42.7,73.0,5.5,35.6,13.97
Indiana,4.6,26.85,42.9,73.3,6.1,33.7,11.15
Alabama,4.1,26.71,40.5,64.7,5.9,33.3,13.53
Iowa,3.8,26.38,44.5,78.1,7.4,35.8,14.29
Iona,3.1,26.09,43.6,76.8,6.8,36.1,13.17
Northern Ky.,2.8,26.51,44.0,71.6,5.7,32.5,12.20
Syracuse,4.7,24.12,43.0,71.1,8.1,34.2,13.47
New Mexico,3.5,25.71,43.3,72.7,6.1,36.9,13.42
FGCU,3.4,26.18,42.5,69.3,6.1,30.6,13.00
Davidson,3.3,27.00,43.2,71.6,5.1,38.1,11.94
Furman,2.3,25.60,42.4,66.3,7.0,31.2,13.51
St. Bonaventure,4.3,24.50,43.2,72.4,7.2,35.3,14.84
Ohio St.,3.8,27.13,41.6,69.8,5.2,35.6,12.06
Texas A&M;,5.6,25.68,40.4,67.8,6.0,35.2,11.65
Towson,3.6,26.06,41.8,69.2,6.8,34.0,13.24
Saint Peter's,2.9,24.56,41.6,60.8,7.0,31.9,13.36
Utah,3.5,28.00,41.7,68.1,6.1,34.2,12.03
Lehigh,3.1,27.13,43.4,70.7,6.7,34.7,13.09
UNCG,3.8,23.89,42.8,69.3,7.0,35.9,13.89
San Diego St.,5.0,25.73,38.8,62.5,6.9,32.4,12.85
San Francisco,2.8,26.45,42.2,67.3,6.7,33.5,13.33
Colorado,4.3,25.65,43.2,72.2,5.1,36.7,11.97
Oakland,5.1,28.56,40.7,71.1,7.8,32.0,14.15
Texas Southern,3.1,23.57,44.5,72.6,7.2,32.6,13.37
Penn St.,5.5,25.42,43.0,72.7,6.8,36.3,14.76
Stanford,2.5,24.23,44.4,71.1,6.8,38.2,14.32
Georgia St.,4.2,25.45,41.1,70.1,7.2,32.4,14.36
Auburn,5.1,25.06,43.7,79.6,7.4,35.7,15.06
Marshall,4.0,27.69,46.1,84.0,6.0,34.4,13.20
George Washington,3.9,25.29,44.5,69.7,5.5,35.4,10.83
North Dakota St.,3.7,26.30,42.9,71.5,6.1,38.0,12.23
Nebraska,3.7,25.03,44.7,73.0,6.8,39.9,13.61
William & Mary,4.9,27.48,44.2,77.8,5.4,34.8,11.06
Arkansas St.,2.6,25.44,43.3,69.1,5.4,31.6,13.16
Louisiana,2.8,24.58,47.3,76.3,7.1,36.0,15.00
Georgetown,4.6,26.13,42.2,72.2,5.5,32.4,12.22
Louisiana Tech,5.3,27.61,41.4,66.8,6.8,34.3,13.85
Ohio,2.8,27.71,41.4,69.9,5.9,32.2,13.42
Wright St.,2.3,25.31,44.2,72.4,5.7,33.8,14.44
Memphis,4.7,24.97,42.3,70.7,6.9,33.7,13.59
South Dakota,3.4,26.94,43.3,73.9,6.8,36.7,13.68
UConn,5.4,26.45,39.3,66.3,4.4,33.4,10.52
Texas Tech,3.1,23.63,43.2,67.1,5.3,35.5,13.59
George Mason,2.8,29.09,42.5,71.7,5.0,33.0,10.12
New Hampshire,1.8,28.22,42.6,66.2,4.0,32.2,10.50
Arizona St.,3.2,23.42,47.9,81.7,5.9,36.4,13.30
Yale,4.4,26.10,42.9,69.9,5.6,32.9,11.76
Wyoming,4.6,29.82,40.1,74.6,5.2,31.0,12.16
Siena,4.1,25.12,44.7,74.7,5.9,33.9,12.18
UC Irvine,4.3,28.50,38.3,64.8,4.9,32.4,10.53
Santa Clara,2.0,23.58,45.2,65.4,5.2,37.7,12.42
A&M-Corpus; Chris,3.9,23.89,43.8,71.5,9.4,34.4,16.31
North Dakota,2.9,26.50,44.3,73.7,7.8,35.1,15.00
Temple,4.0,24.28,43.0,71.2,6.5,34.3,12.59
Old Dominion,4.6,25.10,40.0,61.2,6.3,33.6,12.90
Mt. St. Mary's,3.9,22.36,45.3,68.7,6.2,34.1,14.83
Chattanooga,4.7,22.03,44.5,68.8,7.8,34.2,14.90
North Carolina St.,4.4,26.00,45.0,79.6,5.1,37.0,11.28
Tulsa,2.5,25.06,43.4,70.3,4.5,35.9,12.53
Northeastern,3.6,25.00,45.5,71.9,5.5,36.4,11.58
Omaha,3.3,25.34,46.4,83.5,8.2,36.9,15.03
Kent St.,3.8,25.36,43.5,73.0,6.4,34.8,13.97
La Salle,2.1,24.13,46.7,76.6,6.4,39.4,12.47
Ga. Southern,3.1,25.03,43.4,73.3,6.8,33.9,13.67
Harvard,4.8,25.75,41.2,65.8,6.3,31.3,12.71
Albany (NY),1.7,25.09,43.1,65.7,5.1,34.1,11.40
Southern Ill.,3.9,23.21,44.7,69.4,6.8,39.6,13.73
St. John's (NY),6.0,24.21,46.1,78.7,6.8,37.5,15.18
Buffalo,4.0,28.06,41.5,74.2,5.7,34.7,12.81
Troy,3.5,25.89,42.8,72.1,6.0,34.0,12.51
Mississippi St.,4.1,25.72,42.8,71.3,7.5,31.5,14.03
South Dakota St.,2.4,26.06,45.0,77.1,5.1,37.3,11.37
UC Davis,3.3,25.42,42.6,69.6,5.6,32.9,13.92
Jacksonville St.,3.8,25.40,41.7,67.9,4.5,37.4,10.89
Eastern Wash.,4.8,26.09,44.2,76.2,4.6,37.1,10.56
Texas,4.5,24.52,42.4,68.9,5.8,32.6,12.52
UMBC,2.4,26.26,45.4,77.2,6.6,35.4,12.85
UNI,2.8,23.37,42.9,64.4,6.6,36.3,13.83
Loyola Marymount,4.0,22.97,44.9,70.8,7.6,34.7,14.90
UT Martin,3.5,24.54,44.4,75.1,6.5,35.0,13.63
New Orleans,3.0,23.56,44.1,69.2,7.9,31.6,16.28
Oklahoma,4.7,26.19,43.1,74.2,6.9,36.5,13.42
Elon,2.4,28.69,42.0,71.6,5.2,31.9,11.03
Toledo,2.7,27.50,46.1,75.5,4.0,32.1,10.32
Tennessee St.,3.4,25.07,40.7,67.7,6.7,34.8,15.70
Green Bay,4.2,28.91,43.2,77.5,7.8,36.0,15.16
Liberty,1.9,23.34,43.4,63.4,6.5,33.5,14.26
Canisius,1.9,22.24,48.7,77.7,6.8,34.3,14.94
Washington St.,2.7,25.55,46.0,76.6,4.2,35.1,10.16
Samford,2.4,26.53,42.9,75.9,6.1,33.1,12.33
Fort Wayne,3.9,27.52,44.3,78.8,7.7,38.3,14.15
Texas St.,4.4,24.08,41.2,62.7,6.6,31.5,13.42
Rice,3.7,27.97,43.9,75.7,6.3,33.0,13.49
Coastal Caro.,2.8,28.05,41.7,73.3,6.1,33.5,12.05
Ball St.,3.5,27.82,42.2,75.5,6.0,35.6,12.76
Rutgers,4.6,25.42,41.3,67.1,6.6,32.7,12.94
Weber St.,3.4,25.29,45.2,73.7,5.2,35.4,11.94
Eastern Mich.,4.4,23.64,42.2,73.0,9.6,33.2,16.12
Western Mich.,2.8,24.53,47.1,75.3,5.7,36.2,13.22
Utah Valley,3.6,30.68,41.5,72.9,6.4,31.6,13.85
UMKC,2.6,24.60,45.7,78.7,6.7,33.9,14.91
Utah St.,2.9,27.16,42.3,70.8,4.9,33.6,11.00
Fairfield,3.0,27.13,43.9,73.5,5.4,33.1,12.65
Loyola Chicago,2.4,24.50,44.6,66.8,6.8,36.4,14.34
Houston Baptist,2.6,24.97,45.9,77.4,6.3,35.7,13.45
Stony Brook,3.2,23.47,43.9,68.9,5.4,37.5,13.22
Boston U.,2.5,25.63,42.5,70.8,8.3,36.3,14.78
Gardner-Webb,3.6,26.88,41.7,70.3,8.8,34.3,15.03
Wofford,2.2,23.76,47.2,75.1,5.6,34.2,12.48
Lipscomb,3.2,26.48,44.3,77.6,6.6,34.8,15.58
San Jose St.,4.2,24.37,46.0,74.8,6.3,34.7,13.90
Evansville,3.0,25.39,42.1,68.5,5.2,33.9,12.70
Sam Houston St.,2.7,25.88,42.6,71.3,7.0,34.3,16.29
Massachusetts,5.1,25.82,41.3,71.9,7.6,34.5,14.30
LSU,3.5,24.55,47.2,83.0,6.0,38.3,12.35
Mercer,2.3,25.22,41.5,68.3,4.2,34.4,10.25
Rider,3.6,27.58,42.8,75.8,6.6,33.7,13.48
Hofstra,2.6,24.66,46.2,76.7,4.4,36.6,10.59
UAB,4.9,26.27,43.0,70.2,4.8,34.2,11.55
Loyola Maryland,3.5,22.15,46.3,68.2,7.3,32.9,14.45
Morehead St.,3.2,24.40,46.2,77.0,6.7,38.4,14.70
Penn,3.6,25.21,41.6,68.0,6.5,36.0,13.57
Saint Joseph's,3.4,25.19,43.4,73.1,4.8,34.9,12.65
Idaho,2.5,25.79,41.5,71.1,5.0,35.0,12.39
N.C. Central,3.3,26.88,39.3,63.5,6.1,29.0,13.94
SFA,3.0,23.30,45.1,68.8,6.8,35.2,16.18
Navy,2.1,22.19,45.5,64.2,7.1,35.7,15.50
Holy Cross,2.4,19.44,45.3,62.1,9.4,34.3,15.88
Denver,2.1,26.17,44.5,74.6,5.0,35.8,10.77
Washington,5.5,24.35,46.6,81.1,6.1,39.9,12.00
Missouri St.,3.8,25.30,43.4,69.0,5.3,34.1,11.24
San Diego,1.7,24.97,45.9,71.3,3.9,36.6,10.03
Long Beach St.,2.7,24.09,46.3,78.4,5.9,37.8,13.76
East Carolina,5.2,26.67,39.2,65.1,5.1,32.5,11.36
Fordham,2.8,20.38,46.2,67.7,9.8,35.9,17.53
Montana,2.8,24.19,46.2,73.4,5.7,34.5,12.63
IUPUI,2.7,23.63,47.2,78.7,6.8,36.1,13.69
Central Mich.,2.9,27.53,46.0,87.7,5.6,34.6,12.44
Bradley,3.7,26.21,41.6,70.7,6.2,34.2,13.03
Boston College,2.7,25.78,47.0,78.4,5.6,35.4,12.44
North Florida,4.2,26.41,44.8,78.6,5.4,35.8,12.00
LIU Brooklyn,3.3,25.59,42.7,69.3,5.8,35.1,13.56
UTEP,3.1,27.16,42.1,68.8,5.4,33.8,12.22
Radford,3.6,25.72,44.6,70.2,4.8,35.7,10.22
Western Ky.,3.3,25.50,45.2,71.9,4.5,36.8,10.69
Pacific,1.9,25.42,44.9,71.8,4.2,35.3,11.61
Alcorn,3.5,26.75,41.8,68.0,6.5,30.6,13.06
Bowling Green,2.7,25.00,46.4,76.7,6.9,34.2,14.75
South Ala.,3.7,24.09,44.2,72.6,7.5,34.8,16.25
Lamar University,2.8,23.62,46.1,71.6,8.0,32.2,16.03
Murray St.,2.3,25.58,45.0,77.1,6.0,36.0,13.15
USC Upstate,3.2,26.82,43.6,76.6,5.4,33.2,10.94
High Point,3.1,25.19,44.0,68.9,5.9,36.3,13.52
Indiana St.,4.1,27.32,41.9,72.7,6.6,37.3,12.90
Campbell,4.0,25.05,43.6,70.4,6.6,33.7,11.95
DePaul,2.9,22.41,46.6,74.6,6.7,36.1,13.84
Delaware,3.1,25.39,44.6,72.2,5.3,36.3,10.00
Ill.-Chicago,5.1,27.89,42.2,76.5,5.5,35.7,12.39
UNLV,2.7,26.25,45.1,75.2,5.9,37.8,11.78
Robert Morris,2.4,23.52,43.8,67.8,7.9,29.8,16.58
Little Rock,3.8,23.53,44.5,68.3,5.7,36.0,13.38
Northern Ill.,2.5,25.31,43.5,70.7,7.1,34.7,14.94
Wagner,3.6,25.00,40.9,65.8,4.9,33.6,12.20
Charlotte,3.1,25.17,46.8,80.2,6.3,36.6,13.77
Portland,3.4,24.85,42.9,72.2,4.9,35.6,11.55
Saint Francis (PA),4.0,26.15,42.8,74.5,6.6,36.6,13.44
Saint Louis,2.9,24.67,43.9,69.3,5.0,35.6,11.12
Norfolk St.,5.3,27.74,40.6,71.5,5.1,33.9,12.26
Air Force,1.7,25.45,45.7,75.1,6.0,36.4,12.33
Pepperdine,2.7,23.77,48.5,80.3,5.1,41.8,10.87
Southeastern La.,3.3,24.06,43.0,68.2,6.8,34.3,15.19
Eastern Ky.,3.7,23.65,44.4,75.2,6.0,35.0,13.81
Missouri,2.1,25.34,42.8,72.9,6.3,34.4,13.66
Nicholls St.,6.1,23.10,46.8,79.5,7.5,39.8,15.32
Montana St.,2.4,25.94,44.9,79.1,5.7,37.5,13.41
Youngstown St.,3.1,26.21,46.2,82.3,5.5,34.6,12.29
James Madison,2.7,24.94,43.9,69.7,5.9,34.6,11.82
UTSA,1.9,26.27,43.4,69.4,5.5,35.0,12.30
Kennesaw St.,3.0,24.66,47.1,76.8,5.1,37.3,12.47
Milwaukee,1.5,23.29,46.5,71.3,4.7,35.3,11.71
Austin Peay,2.4,22.27,49.1,83.8,5.7,37.0,13.57
Manhattan,3.3,23.94,45.3,77.7,7.0,39.2,14.66
Cleveland St.,3.0,22.10,45.8,71.7,7.1,35.0,15.61
Columbia,3.0,24.93,43.4,72.7,7.1,36.1,14.33
Eastern Ill.,4.1,25.31,43.1,71.8,6.8,35.4,15.79
Duquesne,4.0,25.75,43.8,74.3,4.9,35.9,12.47
Army West Point,1.9,28.00,44.0,73.1,5.6,33.0,12.72
Portland St.,2.6,23.94,48.1,81.8,9.9,36.9,17.00
Cornell,2.7,26.07,45.6,77.2,5.2,35.4,11.14
Quinnipiac,3.6,25.52,46.4,83.3,5.7,38.0,12.71
Fairleigh Dickinson,2.6,23.27,45.1,75.0,6.3,34.2,13.67
Seattle U,2.1,26.27,40.3,71.4,6.6,31.5,13.83
Western Caro.,2.3,23.81,44.5,73.3,6.2,35.5,13.47
Tennessee Tech,3.8,25.16,43.2,73.1,6.7,34.1,14.66
Southeast Mo. St.,1.9,22.27,47.8,74.7,7.5,36.7,15.70
Niagara,4.6,26.42,44.1,78.2,5.2,36.6,11.61
Marist,2.6,23.84,46.0,79.1,4.6,37.7,10.94
Cal St. Fullerton,3.7,26.53,42.3,71.3,7.0,33.1,14.31
UMES,2.6,23.32,45.4,76.0,5.6,35.3,14.09
Bryant,2.2,25.09,45.2,77.4,6.8,33.2,12.72
Fla. Atlantic,3.1,24.93,45.1,74.0,5.7,36.6,12.93
Savannah St.,3.2,27.97,45.2,91.9,7.8,33.2,15.90
The Citadel,2.6,23.82,51.2,94.6,9.3,38.7,17.55
Brown,1.9,21.93,49.9,77.9,7.6,37.2,15.80
Hampton,3.6,24.90,43.4,71.6,4.9,36.0,14.65
Oregon St.,3.7,23.50,44.5,72.5,5.5,35.9,11.75
Northern Colo.,2.2,26.38,45.5,74.7,5.1,35.2,12.93
Detroit Mercy,2.5,23.10,50.0,84.8,6.5,38.0,14.71
Oral Roberts,2.9,25.20,46.8,79.9,5.4,39.7,11.93
Colgate,2.6,24.19,45.2,71.0,5.1,37.5,11.81
Tulane,3.8,23.06,47.1,78.5,6.2,38.1,14.16
NJIT,2.9,25.06,45.9,74.8,6.5,37.5,13.42
La.-Monroe,2.2,25.00,43.4,69.7,4.7,35.6,11.30
Appalachian St.,3.0,26.23,45.9,76.0,5.6,37.7,12.73
Charleston So.,2.9,24.39,46.1,75.6,5.7,35.9,12.61
Cal Poly,3.6,22.65,46.7,72.3,5.2,39.1,12.00
Sacramento St.,4.4,25.65,45.2,74.3,4.7,38.1,10.74
Sacred Heart,2.7,26.03,46.0,76.1,6.8,37.9,14.31
Hawaii,1.9,22.63,44.9,68.3,5.0,33.9,14.10
Miami (OH),3.9,24.78,43.2,74.5,7.4,34.7,15.13
Northwestern St.,2.7,24.59,47.0,79.3,6.8,37.6,14.62
Dartmouth,1.8,24.70,46.9,74.8,4.7,35.0,10.89
Jacksonville,1.9,23.61,47.5,75.1,8.0,37.5,14.64
Prairie View,3.6,22.00,45.9,73.3,8.3,35.1,15.21
South Carolina St.,2.1,21.65,48.4,80.2,5.0,34.5,12.55
Drexel,3.1,24.91,46.2,78.4,5.8,35.7,12.66
American,2.4,22.13,46.9,68.3,7.0,36.8,13.20
Central Ark.,2.6,25.41,46.6,84.1,5.6,39.2,11.44
Binghamton,2.4,25.13,45.0,70.9,5.2,36.1,11.66
CSUN,3.0,25.20,46.0,81.3,6.9,38.6,13.03
McNeese,3.1,23.83,44.9,79.0,5.5,34.9,13.24
UTRGV,2.6,24.91,47.0,83.3,7.7,36.5,16.38
Drake,2.5,24.52,46.1,77.1,6.1,36.9,12.42
South Fla.,3.8,24.17,42.9,74.5,6.1,39.6,13.27
Chicago St.,2.1,24.34,46.5,78.5,6.7,36.1,13.59
Southern U.,3.8,25.79,42.6,72.7,5.7,31.4,12.39
Lafayette,2.8,25.03,45.7,76.1,4.9,37.9,12.97
Grambling,2.3,21.52,47.4,73.1,8.8,37.1,17.48
Jackson St.,2.6,23.16,43.4,66.9,6.2,33.3,13.78
Maine,2.0,24.94,46.1,75.0,5.2,35.9,11.59
UC Santa Barbara,2.1,24.00,44.7,71.0,5.3,33.8,11.64
Western Ill.,4.5,27.64,43.6,76.8,4.6,40.6,10.32
Morgan St.,3.4,24.87,43.8,70.7,5.7,28.5,14.40
Hartford,3.7,23.56,45.4,77.0,7.1,38.9,13.09
Stetson,2.2,26.69,45.4,82.9,4.8,34.7,11.56
VMI,3.8,22.80,48.3,78.2,6.3,39.6,12.97
UC Riverside,2.8,24.86,42.4,70.4,6.6,34.4,13.39
Southern Miss.,2.1,25.87,43.9,72.2,4.7,37.0,11.68
Delaware St.,2.8,22.16,44.6,75.0,5.5,35.0,14.25
Mississippi Val.,1.9,22.59,49.0,83.3,6.8,38.1,14.25
SIUE,2.8,24.00,46.6,76.1,4.7,32.9,13.07
Northern Ariz.,2.0,26.09,45.9,76.1,4.5,33.7,12.06
Coppin St.,2.3,23.38,47.0,78.8,5.7,35.0,13.53
FIU,2.2,23.74,46.5,73.6,6.0,35.4,11.55
North Texas,3.2,25.83,43.2,75.3,6.6,34.1,13.27
Howard,3.7,24.62,42.6,71.6,5.3,35.5,12.53
Idaho St.,2.4,22.19,48.1,80.2,7.2,39.6,12.97
Southern Utah,3.2,25.33,47.8,85.3,5.6,38.4,12.55
Alabama St.,3.2,24.68,44.4,74.4,4.8,34.3,12.65
Longwood,4.1,23.40,47.7,80.3,5.8,39.6,12.67
Central Conn. St.,2.3,21.79,46.8,72.8,5.7,38.0,13.52
Ark.-Pine Bluff,2.9,21.19,44.8,72.5,8.7,31.8,16.72
Presbyterian,2.4,22.63,45.8,74.8,4.8,38.8,11.60
Bethune-Cookman,3.0,23.03,46.9,77.8,7.7,33.5,14.59
St. Francis Brooklyn,2.9,22.23,47.4,73.7,6.7,35.2,13.97
Florida A&M;,3.3,24.73,45.6,78.8,6.6,36.2,14.20
N.C. A&T;,2.2,23.56,44.4,76.1,4.5,37.9,9.72
Alabama A&M;,1.8,21.86,47.4,77.8,3.6,36.3,9.38
